PropType,Price,CBD Distance,Bedroom,Bathroom,Car-Garage,Landsize,Building Area,Built Year,RE Agency,Median Price,Median Rental,PropertyCount,Status
h,2100000,11.8,4,3,2,679,485,2013,Marshall White,1702000,600,2079,NS
h,2205500,3.3,2,1,1,436,335.3846154,1995,HockingStuart,2097000,600,3280,S
h,2325000,9,5,3,2,737,614.1666667,1990,Jellis Craig,4775000,525,1554,NS
h,2740125,9.7,5,3,2,617,268.2608696,2001,Marshall White,3100000,650,5682,S
h,480000,12.8,1,1,1,474,249.4736842,2011,Sweeney,592500,383,1281,S
u,490000,12,1,1,1,163,101.875,2018,Ray White,815000,450,21650,S
h,635000,20.5,3,2,2,416,166.4,2007,YPA,710000,470,7969,S
h,650000,10.5,3,1,1,650,325,1965,Douglas,638000,400,6763,S
h,708500,38,3,1,2,669,304.0909091,1980,HockingStuart,698000,475,17055,S
h,728000,14.9,2,1,2,379,199.4736842,1992,Barry Plant,751000,450,2329,S
u,730000,16.7,2,1,1,235,195.8333333,1989.5,Harcourts,1750500,608,15321,NS
h,733250,14.7,4,4,2,512,393.8461538,2012,YPA,750000,470,15542,NS
h,755000,5.2,2,1,1,444,296,2020,Nelson Alexander,1300000,550,11918,S
h,760000,23.2,4,2,4,789,563.5714286,1990,Surreal,831000,480,3598,NS
u,810000,7.2,2,1,1,203,126.875,1935,HockingStuart,2030000,520,8989,S
h,822000,7,2,1,3,539,256.6666667,1992.5,Sweeney,1070000,550,6543,S
h,845000,14,3,1,2,630,315,1986.5,Douglas,650000,400,14042,NS
h,871000,8.8,4,2,1,561,280.5,2011,Ray White,1079000,500,14577,S
h,965000,15.4,3,2,1,519,370.7142857,1970,Fletchers,1100000,560,4385,S
h,968000,9.2,3,1,2,367,166.8181818,2011,Ray White,900000,490,3445,S
t,1005000,14.3,3,2,2,321,267.5,1992,Jellis Craig,1312500,650,2555,S
h,1050000,5.3,2,1,1,490,196,1900,McGrath,1690000,580,11364,NS
t,1150000,11.8,2,2,1,368,306.6666667,1980,Jellis Craig,1702000,600,2079,NS
h,1200000,13.8,3,2,1,662,367.7777778,1940,Buxton,1305000,650,10969,NS
h,1200000,8.4,3,1,0,484,193.6,2005,Williams,1297500,550,5498,S
h,1250000,5.2,1,1,0,459,241.5789474,2012,Ray White,1300000,550,11918,S
h,2190000,5.3,4,2,2,516,245.7142857,1993,McGrath,1690000,580,11364,S
u,340000,13,2,1,1,247,154.375,1974,Nelson Alexander,735000,470,8870,S
t,500000,12.6,3,1,2,305,254.1666667,2010,Douglas,695000,420,3755,NS
h,525500,9.9,2,1,1,463,220.4761905,1973,Considine,897500,490,7485,S
u,635000,17.2,3,1,2,280,175,1998,Noel Jones,1155000,495,6871,S
t,690000,6.4,1,1,1,346,288.3333333,1999,Jason,860000,470,7570,S
u,707500,11.2,2,1,1,170,106.25,2015,HockingStuart,1511000,550,8801,S
u,750000,4.6,2,1,1,232,165.7142857,1994,Williams,3930000,600,7217,NS
h,795000,21.3,3,1,2,464,309.3333333,1961.5,Carter,1028000,525,3794,NS
h,800000,16.1,4,2,2,626,313,1960,Darren,938500,490,8524,S
t,835000,5.6,3,2,2,362,258.5714286,1974,First National & Partners,2735000,610,10331,S
h,847750,23.2,3,1,3,735,367.5,1980,Barry Plant,873500,485,5030,S
h,850000,11.7,3,1,2,547,260.4761905,1995,Nelson Alexander,960000,480,5629,S
t,865000,5.9,2,2,1,349,218.125,2016,Nelson Alexander,1349000,500,6567,S
u,880000,6.8,2,1,2,169,105.625,1981,HockingStuart,1390000,595,6380,S
h,1020000,11.4,3,1,2,628,273.0434783,2011,Miles,1170000,550,3540,S
h,1200000,27,3,1,1,426,250.5882353,2009,HockingStuart,1267500,550,2546,S
h,1230000,8.9,4,1,2,630,262.5,1950,Nelson Alexander,1265000,500,2890,S
h,1257625,5.9,2,1,2,529,220.4166667,2014,Jellis Craig,1225000,620,7082,S
h,1305625,16.1,3,1,1,725,426.4705882,1986,Fletchers,1250000,600,4790,S
h,1380000,7,3,2,2,478,199.1666667,1971,Village,1070000,550,6543,S
h,1408000,14.2,4,2,2,692,384.4444444,1970,Jellis Craig,1407000,600,13366,S
u,1440375,5,1,1,0,275,171.875,1987,McGrath,1116500,600,13240,NS
h,1500000,9.7,3,2,4,722,343.8095238,1992,McDonald,1200000,650,3284,S
h,1655000,10.1,2,1,2,593,395.3333333,1996,Buxton,1840000,498,4442,S
h,1682000,10.4,4,1,2,699,279.6,1995,Buxton,1370000,560,5678,S
h,1740000,3.3,3,2,2,562,281,1973,Marshall White,2097000,600,3280,NS
h,1820000,1.9,2,2,1,479,399.1666667,2020,Greg,2045000,600,5943,S
h,2250000,9.7,5,3,2,600,250,1998,Noel Jones,3100000,650,5682,NS
u,2339375,9.2,2,2,1,232,165.7142857,2016,Jellis Craig,2235000,595,10412,S
h,3005750,8.4,3,3,1,519,346,1981,HockingStuart,2440000,600,3265,S
u,350000,6.1,1,1,1,214,178.3333333,1970,HockingStuart,1116500,600,13240,NS
u,365000,8.2,1,1,0,164,117.1428571,1990,Brad,1055000,525,1308,S
t,401000,25.5,2,1,1,363,259.2857143,2013,Ray White,661000,500,2940,S
h,490000,14.7,3,2,0,530,240.9090909,1992,Sweeney,587000,450,16166,S
u,530000,7.9,1,1,0,273,170.625,2005,Fletchers,3100000,650,5682,S
h,550000,17.4,4,2,2,605,275,1950,Barry Plant,500000,405,1124,NS
u,562500,21.5,2,1,2,202,126.25,2003,Buxton,1251500,520,5087,S
u,631000,31.7,2,2,2,234,195,2005,One,637500,450,14092,S
u,640000,14.5,2,1,2,271,169.375,2000,Flannagan,751000,450,2329,NS
h,640625,25.9,3,2,4,385,192.5,2014,Harcourts,642500,450,5812,NS
u,711650,2.4,1,1,1,205,146.4285714,2000,HockingStuart,1340000,620,14949,S
u,722000,8.1,2,2,2,202,168.3333333,2007,Castran,1975000,825,6923,S
h,730000,10.4,3,1,1,377,198.4210526,1970,Barry Plant,795000,480,3464,S
h,769250,13.1,4,3,3,619,325.7894737,2015,Barry Plant,777000,470,5070,S
u,795000,3.8,2,2,1,260,162.5,2017,Cayzer,1735000,675,8648,S
u,800000,2.7,2,2,1,269,192.1428571,2014,Abercromby's,2700000,565,14887,S
t,846000,5.8,3,1,1,350,218.75,2009,Love,1304000,480,2970,S
h,880000,25.5,4,2,2,680,453.3333333,2015,Love,661000,500,2940,S
t,956250,6.7,2,1,1,390,278.5714286,1950,Barry Plant,900000,490,3445,S
h,960000,18.8,3,1,2,648,324,1977.5,Harcourts,933000,608,7113,S
h,1100000,10.5,3,1,1,510,268.4210526,1973,Brad,857000,480,4502,NS
u,1191125,1.6,2,2,1,180,128.5714286,1983,HockingStuart,1062500,580,4553,S
h,1317500,13,3,1,1,576,384,1977,Buxton,1885000,600,6795,S
h,1345000,13,2,2,1,612,437.1428571,1997,Ray White,1207500,498,3145,S
u,1380500,21.5,2,1,1,262,218.3333333,1989,HockingStuart,1251500,520,5087,S
h,1398875,10.2,3,2,2,519,288.3333333,2016,Buxton,1310000,560,2894,NS
h,1620000,4.6,2,1,1,612,322.1052632,1987,Jellis Craig,2601000,495,11308,S
u,1631500,3.6,2,2,2,250,156.25,2003,Nelson Alexander,1600000,650,6244,S
u,1667500,2.4,2,2,2,169,120.7142857,1940,Jellis Craig,1340000,620,14949,S
h,1960000,4.6,3,1,1,449,204.0909091,1900,Jellis Craig,1540000,550,7717,S
h,1965000,7.4,4,2,1,620,516.6666667,2002,Jellis Craig,1750000,583,4675,S
h,2175000,7.7,4,2,3,616,256.6666667,1930,Jellis Craig,2250000,595,8920,NS
h,2175000,7.7,4,2,3,616,256.6666667,1930,Jellis Craig,2250000,595,8920,NS
h,2175000,7.7,4,2,3,616,256.6666667,1930,Jellis Craig,2250000,595,8920,NS
h,2175000,7.7,4,2,3,616,256.6666667,1930,Jellis Craig,2250000,595,8920,NS
h,2175000,7.7,4,2,3,616,256.6666667,1930,Jellis Craig,2250000,595,8920,NS
h,2175000,7.7,4,2,3,616,256.6666667,1930,Jellis Craig,2250000,595,8920,NS
h,2175000,7.7,4,2,3,616,256.6666667,1930,Jellis Craig,2250000,595,8920,NS
h,2175000,7.7,4,2,3,616,256.6666667,1930,Jellis Craig,2250000,595,8920,NS
h,2290000,10.2,4,2,2,761,380.5,1992,Fletchers,2270000,600,5457,S
h,2360000,6.3,3,2,0,622,248.8,2020,HockingStuart,2080000,560,4836,S
h,2440000,9.7,4,3,1,685,311.3636364,1994,Fletchers,2220000,700,7809,NS
u,320000,7.2,1,1,1,225,160.7142857,1991,Gary,1747500,740,821,S
u,331000,8,2,1,1,210,131.25,2004,Williams,1390000,595,6380,S
u,431000,6.1,2,1,1,266,221.6666667,1985,McGrath,1116500,600,13240,S
u,482000,1.9,1,1,1,264,165,1988,Nelson Alexander,1055000,550,2230,S
u,545000,5.9,2,1,2,194,161.6666667,1994,Nelson Alexander,1349000,500,6567,S
u,555000,10.5,2,1,2,236,196.6666667,1998,Bells,638000,400,6763,S
h,570000,6.4,3,1,2,461,200.4347826,2016,Thomas,2185000,480,2211,NS
h,579000,20.4,4,4,3,715,420.5882353,2003,Ray White,825000,520,4864,NS
u,580000,3.6,2,1,1,215,179.1666667,2003,Domain,1603000,650,2954,S
h,651375,14,3,1,2,650,433.3333333,1986.5,Barry Plant,650000,400,14042,S
h,703500,24.7,4,2,2,586,450.7692308,1980,Barry Plant,705000,450,8322,NS
u,737000,21.5,2,2,1,268,191.4285714,2005,HockingStuart,1251500,520,5087,S
u,750000,15.2,2,1,2,231,192.5,1981,Buxton,2090500,850,4497,NS
h,760000,8.8,3,1,2,467,203.0434783,1985,Barry Plant,1079000,500,14577,NS
t,781000,7.8,2,1,1,332,207.5,1997,HockingStuart,1100000,530,11204,S
h,812000,14.7,3,2,2,560,466.6666667,1982,HockingStuart,1053000,550,5424,S
h,900000,8.8,4,2,2,491,377.6923077,1992,Nelson Alexander,835000,450,2947,NS
h,915000,9.9,2,1,3,629,349.4444444,2012,New,897500,490,7485,S
h,972000,11.1,4,4,3,603,287.1428571,2015,Sweeney,880000,500,5132,S
h,980000,12,3,1,2,560,400,1950,Nelson Alexander,815000,450,21650,S
h,1010625,6.2,4,1,2,446,371.6666667,1915,Biggin,978000,578,984,S
h,1075000,6.8,3,2,1,632,316,1970,Sweeney,1390000,595,6380,S
h,1100000,5.2,3,1,1,657,410.625,1995,Jellis Craig,1300000,550,11918,NS
h,1126000,12.2,4,1,1,656,262.4,1979,Harcourts,1310000,560,2894,S
h,1130000,16.7,3,2,2,730,429.4117647,1989.5,Harcourts,1750500,608,15321,NS
h,1190000,8.9,4,2,2,557,253.1818182,1970,Miles,1083000,560,2698,S
h,1285000,10.2,3,2,2,736,294.4,1992,Fletchers,2270000,600,5457,S
u,1364500,10.6,1,1,1,175,125,2011,Miles,1265000,500,2890,S
h,1415000,12.7,5,3,6,705,587.5,1989,Greg,1180000,560,852,S
h,1525000,11.2,3,2,2,566,257.2727273,2018,Fletchers,2270000,600,5457,S
u,1534375,2.1,2,2,2,178,127.1428571,2000,Love,1715000,630,5825,NS
h,1543000,16.7,4,1,2,747,311.25,1980,Harcourts,1750500,608,15321,S
h,2210000,2.7,2,2,1,399,173.4782609,1890,Castran,2700000,565,14887,S
h,2262375,2.7,3,4,2,610,381.25,1996.5,Kay,2700000,565,14887,NS
u,2354875,7.5,2,2,1,170,141.6666667,1983,RT Edgar,2215000,770,6482,NS
u,2740125,7.9,2,1,2,283,176.875,1980,Fletchers,3100000,650,5682,NS
u,346000,6.1,1,1,1,235,167.8571429,2007,Buxton,1116500,600,13240,S
u,410000,4.3,2,2,2,254,181.4285714,2003,Greg,1055000,540,4918,NS
h,521500,31.7,2,1,1,650,260,2017,HockingStuart,550000,360,6065,S
t,580000,5.2,1,1,0,379,236.875,2002,Nelson Alexander,1225000,620,7082,S
h,645000,15.3,4,1,4,530,220.8333333,1980,Hamilton,680000,430,7955,S
h,650000,14.8,4,4,2,698,349,2020,Barry Plant,740000,470,1686,S
u,670000,7.4,1,1,1,208,173.3333333,1997,Jellis Craig,1750000,583,4675,NS
h,750000,6.3,2,1,2,549,274.5,1992.5,HockingStuart,1070000,550,6543,S
h,873750,11.2,3,1,2,586,390.6666667,1985,Barry Plant,815000,450,21650,S
h,900000,6.8,2,2,1,397,165.4166667,2009,Greg,1390000,595,6380,S
h,931000,23,3,2,2,560,400,1987.5,Hoskins,1054500,615,1705,S
t,981000,2.7,1,1,1,355,295.8333333,2008,Hodges,2700000,565,14887,S
h,990000,16.1,4,3,2,562,244.3478261,1983,Darren,938500,490,8524,S
h,1060000,3.4,3,1,0,508,254,1996,Nelson Alexander,1603000,650,2954,S
h,1200000,13.8,3,1,2,730,304.1666667,2005,Jellis Craig,1580000,600,5420,S
h,1460000,4.6,3,1,2,390,156,2009,Rodney,1540000,550,7717,NS
h,1511000,4.6,4,3,2,608,467.6923077,2009,Jellis Craig,1399000,550,4380,NS
u,1534375,1.6,2,2,1,230,164.2857143,1986,HockingStuart,1715000,630,5825,S
h,1560000,7.5,5,3,6,512,301.1764706,1910,Red,1765000,490,9264,S
h,1603500,5.5,4,4,3,749,440.5882353,1992,Nelson Alexander,1690000,580,11364,S
h,1946500,11.2,2,1,1,475,296.875,1978,Marshall White,1511000,550,8801,S
h,2265000,4.6,2,1,1,460,200,1993,Morrison,2601000,495,11308,S
h,3005750,8.4,4,3,2,602,430,1920,Jellis Craig,2440000,600,3265,S
h,3789000,6.2,5,2,2,688,299.1304348,1993,Woodards,2215000,770,6482,S
u,406000,13.8,2,1,1,219,136.875,1976,HockingStuart,1175000,490,5301,S
u,460000,11.4,2,1,1,176,146.6666667,1986,Ray White,1480000,505,7822,NS
u,475000,10.2,1,1,1,171,142.5,2016,HockingStuart,1702000,600,2079,S
t,539000,11.2,2,2,2,280,175,1993,Barry Plant,795000,450,2606,S
u,555000,7.7,2,1,1,257,214.1666667,1993,Jellis Craig,2250000,595,8920,S
u,555000,7.7,2,1,1,257,214.1666667,1993,Jellis Craig,2250000,595,8920,S
u,555000,7.7,2,1,1,257,214.1666667,1993,Jellis Craig,2250000,595,8920,S
u,555000,7.7,2,1,1,257,214.1666667,1993,Jellis Craig,2250000,595,8920,S
u,555000,7.7,2,1,1,257,214.1666667,1993,Jellis Craig,2250000,595,8920,S
u,555000,7.7,2,1,1,257,214.1666667,1993,Jellis Craig,2250000,595,8920,S
u,555000,7.7,2,1,1,257,214.1666667,1993,Jellis Craig,2250000,595,8920,S
u,555000,7.7,2,1,1,257,214.1666667,1993,Jellis Craig,2250000,595,8920,S
h,575000,18,3,1,1,502,228.1818182,2001,Barry Plant,659000,410,2898,S
h,600500,15.3,3,1,1,552,394.2857143,1984.5,Barry Plant,680000,430,7955,S
h,660000,13,3,1,2,657,345.7894737,2010,Barry Plant,735000,470,8870,S
h,690000,12.1,3,1,2,513,366.4285714,1991,Nelson Alexander,850000,490,10175,NS
h,700000,14.5,3,1,1,402,167.5,1970,Barry Plant,872000,525,1442,S
h,745000,25.5,5,4,3,693,495,1992,Harcourts,661000,500,2940,S
h,769250,13.1,3,2,2,394,157.6,1982,Brad,777000,470,5070,S
u,770000,13.9,3,2,1,281,200.7142857,1989,HockingStuart,1305000,650,10969,NS
h,800000,6.7,3,2,2,481,300.625,2006,Raine,900000,490,3445,S
h,850000,7.5,3,2,2,557,397.8571429,1983,Purplebricks,1765000,490,9264,NS
h,975000,14.7,4,2,2,634,333.6842105,1965,Jellis Craig,1053000,550,5424,S
h,992000,13.6,3,1,2,586,293,1977,Gary,1362000,550,3582,S
h,1001000,13.9,3,1,1,598,314.7368421,2003,Gary,1305000,650,10969,S
h,1006750,22.2,4,2,4,531,212.4,1980,Buxton,931000,600,3940,NS
h,1045000,5.1,2,1,2,626,329.4736842,1982,Marshall White,1399000,550,4380,S
u,1058875,21.5,1,1,0,270,192.8571429,2001,Ray White,985000,650,2243,S
h,1065000,15.4,3,1,1,704,440,1950,HockingStuart,1100000,560,4385,S
h,1110000,7,3,1,0,396,264,1930,McGrath,1250000,500,8870,S
h,1130000,5.9,2,1,2,628,285.4545455,1994,Nelson Alexander,1349000,500,6567,S
h,1270000,2.1,3,1,0,368,153.3333333,2011,HockingStuart,2045000,600,5943,S
h,1328875,3,2,1,0,633,253.2,1910,Biggin,1409000,580,4019,S
h,1420000,4.6,2,2,2,490,408.3333333,1986,Pride,1540000,550,7717,S
t,1431000,14.2,3,3,1,335,279.1666667,2007,Buxton,1407000,600,13366,NS
h,1480000,8.9,4,2,3,680,485.7142857,2003,Miles,1170000,550,3540,NS
h,1526000,11.4,3,1,2,739,527.8571429,1996,Century 21,1885000,600,6795,S
h,1612000,3.4,3,1,1,511,365,2003,Nelson Alexander,1603000,650,2954,S
h,1705000,12.4,5,4,2,614,341.1111111,1970,HockingStuart,1580000,600,5420,NS
h,1725000,7.5,4,2,4,430,226.3157895,1996,Frank,1765000,490,9264,S
h,1755000,8.5,1,1,0,455,350,1976,Gary,2325000,550,4898,S
h,1930000,11.2,4,2,2,791,608.4615385,2012,Ray White,2270000,600,5457,NS
h,1946500,8.4,4,2,3,665,369.4444444,1930,Marshall White,1511000,550,8801,S
h,2239375,7.7,2,2,2,393,157.2,1992,RT Edgar,2030000,520,8989,S
h,2529875,6.3,4,2,2,612,510,1994,Marshall White,2080000,560,4836,S
h,2659000,7.4,2,1,0,552,262.8571429,2001,HockingStuart,1750000,583,4675,S
h,430000,14.7,3,1,1,650,282.6086957,1989.5,Sweeney,587000,450,16166,S
t,465000,14,3,2,3,336,210,2010,Barry Plant,520000,450,4294,S
t,482500,7,3,2,2,356,296.6666667,2019,Sweeney,1070000,550,6543,S
t,520000,13.1,2,2,2,303,252.5,2001,Barry Plant,777000,470,5070,S
t,536000,10.8,2,1,1,320,228.5714286,2015,Barry Plant,688500,375,3589,S
h,561000,20.5,4,2,1,450,250,2007,Ray White,710000,470,7969,S
u,590000,12,3,1,2,275,171.875,1995,RW Property Group,815000,450,21650,NS
h,592500,20.6,4,2,2,448,263.5294118,2011,Ray White,646000,460,15510,S
h,625000,16.5,3,1,2,635,396.875,1985,Raine,670000,420,2474,S
h,631000,31.7,4,2,2,695,330.952381,1997,Daniel,637500,450,14092,NS
h,673000,14.7,3,2,2,584,307.3684211,2000,Reliance,750000,470,15542,S
h,765000,10.5,3,1,2,553,425.3846154,1992,HockingStuart,638000,400,6763,S
h,800000,17.9,4,2,2,674,518.4615385,1990,Hamilton,755000,450,10529,S
h,810000,12.8,3,3,1,546,260,1994,Brad,960000,480,5629,S
h,819000,12.1,4,2,2,583,485.8333333,1970,Barry Plant,850000,490,10175,S
h,842000,16.1,3,2,2,593,312.1052632,1985,Parkes,938500,490,8524,S
t,860000,8.4,3,2,2,365,228.125,2005,Jellis Craig,1079000,500,14577,S
t,880000,10.5,3,2,2,339,282.5,2005,Moonee,857000,480,4502,S
h,926000,16.2,3,3,1,741,463.125,2017,Jellis Craig,1173500,540,3891,S
h,965000,5.9,2,1,1,492,351.4285714,2019,Nelson Alexander,1349000,500,6567,S
h,1000500,19.9,3,1,0,706,470.6666667,1985,Philip,1047500,490,7785,NS
h,1035000,12.4,3,2,1,372,206.6666667,1995,Ray White,1580000,600,5420,S
h,1042500,13.8,4,2,2,648,432,1997,Miles,1083000,560,2698,S
h,1125750,7,3,2,1,644,402.5,1986,HockingStuart,1070000,550,6543,S
u,1186000,7.3,1,1,1,256,213.3333333,1983,Fletchers,2235000,595,10412,S
h,1205000,5.9,4,3,1,447,262.9411765,1992,Raine,1225000,620,7082,S
h,1240000,4.5,3,1,0,518,431.6666667,1995,HockingStuart,1540000,550,7717,S
h,1322000,13.9,5,1,0,729,316.9565217,2015,Jellis Craig,1320000,600,9028,S
u,1361250,6.9,1,1,1,199,165.8333333,2003,Brad,1065000,500,6232,S
u,1440375,6.1,1,1,1,273,170.625,1993,HockingStuart,1116500,600,13240,S
h,1460000,13.9,4,2,2,580,414.2857143,1988,Barry Plant,1320000,600,9028,NS
t,1519375,13.4,3,2,1,394,328.3333333,2012,Barry Plant,1481000,520,5713,NS
h,1550000,1.8,3,2,1,606,378.75,1996,Nelson Alexander,1080000,550,6821,S
h,1603500,5.3,4,2,2,567,298.4210526,1993,Jellis Craig,1690000,580,11364,S
h,1635000,15.5,4,3,2,511,283.8888889,1985,Barry Plant,1450000,600,6202,S
h,1666000,7.5,3,2,0,440,200,2005,Noel Jones,2215000,770,6482,S
h,1700000,20,4,2,2,731,332.2727273,1990,HockingStuart,1436000,520,6162,S
h,1715000,8,3,1,2,532,380,1971,Nelson Alexander,1765000,490,9264,S
h,2201000,8.9,3,1,3,570,380,1992.5,Kay,2290000,745,1651,S
h,2550000,8.4,5,2,4,692,407.0588235,1987,RT Edgar,2440000,600,3265,NS
h,2600000,13.6,3,3,2,635,488.4615385,1994,Stockdale,1362000,550,3582,S
h,2652875,5.4,5,5,4,565,235.4166667,1880,Marshall White,2735000,610,10331,S
u,430000,7.8,2,1,1,257,214.1666667,1974,Jellis Craig,2250000,595,8920,NS
u,430000,7.8,2,1,1,257,214.1666667,1974,Jellis Craig,2250000,595,8920,NS
u,430000,7.8,2,1,1,257,214.1666667,1974,Jellis Craig,2250000,595,8920,NS
u,430000,7.8,2,1,1,257,214.1666667,1974,Jellis Craig,2250000,595,8920,NS
u,430000,7.8,2,1,1,257,214.1666667,1974,Jellis Craig,2250000,595,8920,NS
u,430000,7.8,2,1,1,257,214.1666667,1974,Jellis Craig,2250000,595,8920,NS
u,430000,7.8,2,1,1,257,214.1666667,1974,Jellis Craig,2250000,595,8920,NS
u,430000,7.8,2,1,1,257,214.1666667,1974,Jellis Craig,2250000,595,8920,NS
u,450000,4.2,2,1,2,260,162.5,2011,Rendina,927500,500,5263,S
t,505000,12.1,2,1,2,418,261.25,1995,Barry Plant,850000,490,10175,S
t,550000,7.8,3,3,1,303,216.4285714,2006,Brace,1100000,530,11204,NS
u,560000,3.4,2,1,1,213,152.1428571,2011,Edward,927500,500,5263,NS
u,570000,6.4,3,1,1,172,107.5,1970,Jason,1090000,600,1808,NS
u,575000,10.4,2,2,1,257,214.1666667,1977,Buxton,1513000,520,2403,S
h,617500,8.4,2,1,3,670,268,1971,Holland,1079000,500,14577,S
h,644000,13.6,1,1,1,423,192.2727273,1984,McGrath,1362000,550,3582,S
h,645000,13.1,3,1,1,644,322,1994,HockingStuart,777000,470,5070,NS
h,670000,32.3,3,2,6,406,253.75,1985,LJ,660000,450,3728,NS
h,765000,6.5,3,2,1,585,325,2002,Nelson Alexander,1250000,500,8870,S
h,770000,10.5,3,2,0,524,249.5238095,1993,Bells,695000,420,3755,S
u,770000,2.4,2,1,1,271,225.8333333,2020,Jellis Craig,1340000,620,14949,NS
u,790000,2.1,2,1,2,271,225.8333333,1930,Nelson Alexander,1715000,630,5825,S
t,829125,10.9,3,3,2,412,257.5,1985,HockingStuart,945000,450,962,NS
h,830000,6.7,4,2,2,557,242.173913,1950,Barry Plant,900000,490,3445,NS
h,900000,5.2,2,1,0,525,291.6666667,1995,Nelson Alexander,1300000,550,11918,NS
h,937500,3.5,3,1,2,415,188.6363636,1997,Jellis Craig,1600000,650,6244,S
h,965000,2.6,3,2,2,460,287.5,2013,Woodards,2500000,550,2309,S
t,1025000,4.1,2,1,1,370,264.2857143,1995,RT Edgar,3930000,600,7217,S
h,1067000,14.7,3,1,2,648,259.2,1987,Woodards,1046000,550,3692,S
h,1099750,4.2,2,2,2,469,203.9130435,1990,Edward,927500,500,5263,S
h,1261000,14.3,3,1,1,692,288.3333333,1993,Buxton,1312500,650,2555,S
h,1352000,13.9,4,2,2,618,325.2631579,1972,HockingStuart,1305000,650,10969,S
h,1376000,10.2,2,2,2,587,326.1111111,2007,Jellis Craig,2270000,600,5457,S
h,1390000,11.4,4,2,2,650,406.25,1920,Buxton,1885000,600,6795,S
h,1400000,3.4,3,1,1,604,431.4285714,1994,Nelson Alexander,1117500,500,3593,NS
h,1459375,6.6,3,2,1,582,323.3333333,2005,Kay,1342500,750,2952,S
h,2195000,10.2,5,2,1,734,489.3333333,1930,Fletchers,2270000,600,5457,NS
h,393200,20.6,3,1,1,400,250,2000,Raine,670000,450,5833,S
u,460000,4.5,2,1,1,176,125.7142857,1970,Nelson Alexander,1201000,675,5533,S
h,464000,14,3,1,2,591,246.25,1980,Stockdale,520000,450,4294,S
u,478000,5.6,2,2,2,237,197.5,2004,Fletchers,2735000,610,10331,S
u,490000,1.8,1,1,1,275,229.1666667,1975,HockingStuart,1610000,550,6786,S
h,499000,20.6,3,2,0,598,284.7619048,2000,@Realty,646000,460,15510,S
u,512000,6.4,2,1,1,261,163.125,2015,Love,2185000,480,2211,S
h,635000,14.8,3,1,2,712,284.8,1990,Hamilton,618000,400,6388,S
h,673000,14,3,1,1,659,263.6,1980,Stockdale,520000,450,4294,S
h,910000,8.6,3,1,2,667,513.0769231,1992,Douglas,688500,375,3589,S
h,930000,9.2,3,1,2,492,246,1992,Jason,897500,450,3873,S
u,1110000,6.1,3,2,1,267,190.7142857,2015,Kay,1116500,600,13240,S
h,1146000,13.8,3,1,1,595,297.5,1960,Buxton,1305000,650,10969,S
h,1250000,14.2,4,2,2,608,304,1975,Buxton,1407000,600,13366,S
u,1400000,12.4,2,1,1,165,103.125,2011,Fletchers,1320000,600,9028,S
u,1550000,2.1,3,4,2,162,115.7142857,1990,Marshall White,2045000,600,5943,NS
h,1603500,5.3,3,2,2,557,309.4444444,1993,Jellis Craig,1690000,580,11364,S
h,1705250,4.5,3,2,2,561,467.5,2006,Marshall White,1540000,550,7717,S
t,1717500,13,3,3,2,293,244.1666667,2019,Buxton,1885000,600,6795,S
t,1802000,10.5,3,2,2,354,221.25,1993,Marshall White,3195000,805,10579,S
h,1875000,9.2,3,2,3,607,379.375,2016,Marshall White,2235000,595,10412,S
h,1950000,7.8,2,1,1,496,236.1904762,1992,Marshall White,2250000,595,8920,S
h,1950000,7.8,2,1,1,496,236.1904762,1992,Marshall White,2250000,595,8920,S
h,1950000,7.8,2,1,1,496,236.1904762,1992,Marshall White,2250000,595,8920,S
h,1950000,7.8,2,1,1,496,236.1904762,1992,Marshall White,2250000,595,8920,S
h,1950000,7.8,2,1,1,496,236.1904762,1992,Marshall White,2250000,595,8920,S
h,1950000,7.8,2,1,1,496,236.1904762,1992,Marshall White,2250000,595,8920,S
h,1950000,7.8,2,1,1,496,236.1904762,1992,Marshall White,2250000,595,8920,S
h,1950000,7.8,2,1,1,496,236.1904762,1992,Marshall White,2250000,595,8920,S
h,2112000,3.4,4,2,1,442,184.1666667,1880,Edward,927500,500,5263,S
h,2120000,13.8,3,1,3,753,376.5,1934,Buxton,2142500,695,5454,S
h,2150625,9.2,2,1,1,525,250,2003,Fletchers,2220000,700,7809,S
t,2560000,11.2,4,3,2,406,290,2012,Abercromby's,1511000,550,8801,NS
u,370000,4.6,1,1,1,177,126.4285714,2018,Nelson Alexander,1540000,550,7717,NS
u,455000,12.3,2,1,1,264,165,1980,Buxton,1364000,480,768,S
u,515000,3.3,1,1,1,224,140,2012,HockingStuart,2700000,565,14887,S
u,517500,13,3,1,1,205,170.8333333,1992,Buxton,1885000,600,6795,S
u,520000,23.2,2,1,1,209,149.2857143,1970,Schroeder,873500,485,5030,S
h,520000,20.6,4,2,2,448,280,2010,Barry Plant,646000,460,15510,NS
h,675000,13.5,2,1,1,612,382.5,1993,Barry Plant,795000,480,3464,S
u,720000,3.5,2,2,1,164,136.6666667,1989,Woodards,1600000,650,6244,S
u,745000,1.6,1,1,1,191,119.375,1987,Nelson Alexander,1715000,630,5825,S
u,759000,7.3,1,1,1,231,192.5,1992,Metro,2235000,595,10412,S
u,845000,10.5,2,1,1,214,133.75,1960,Buxton,3195000,805,10579,S
